Row Labels,Sum of Precip (in),Sum of Temp (F) ,Sum of Height (in),Sum of Deer,Sum of Bear,,Month,Precip (in),Temp (F) ,Height (in),Deer,Bear,,Month,Precip (cm),Temp (C) ,Height (cm),Deer,Bear
1,8,47,9,1,2,,1,8,47,9,1,2,,1,20,8,23,1,2
2,9,55,7,0,1,,2,9,55,7,0,1,,2,23,13,18,0,1
3,11,64,6,0,0,,3,11,64,6,0,0,,3,28,18,15,0,0
4,11,74,6,1,0,,4,11,74,6,1,0,,4,28,23,15,1,0
5,9,83,5,2,1,,5,9,83,5,2,1,,5,23,28,13,2,1
6,7,88,2,1,2,,6,7,88,2,1,2,,6,18,31,5,1,2
7,3,88,0,0,1,,7,3,88,0,0,1,,7,8,31,0,0,1
8,1,83,0,0,0,,8,1,83,0,0,0,,8,3,28,0,0,0
9,0,74,0,0,0,,9,0,74,0,0,0,,9,0,23,0,0,0
10,0,64,0,0,0,,10,0,64,0,0,0,,10,0,18,0,0,0
11,1,55,1,0,0,,11,1,55,1,0,0,,11,3,13,3,0,0
12,3,49,4,0,0,,12,3,49,4,0,0,,12,8,9,10,0,0
13,7,49,8,1,0,,13,7,49,8,1,0,,13,18,9,20,1,0
14,9,55,9,2,1,,14,9,55,9,2,1,,14,23,13,23,2,1
15,11,64,6,1,2,,15,11,64,6,1,2,,15,28,18,15,1,2
16,11,74,3,0,1,,16,11,74,3,0,1,,16,28,23,8,0,1
17,9,83,2,0,0,,17,9,83,2,0,0,,17,23,28,5,0,0
18,7,88,2,1,0,,18,7,88,2,1,0,,18,18,31,5,1,0
19,3,88,1,1,1,,19,3,88,1,1,1,,19,8,31,3,1,1
20,1,83,0,0,1,,20,1,83,0,0,1,,20,3,28,0,0,1
21,0,74,0,0,0,,21,0,74,0,0,0,,21,0,23,0,0,0
22,0,64,0,0,0,,22,0,64,0,0,0,,22,0,18,0,0,0
23,1,55,1,0,0,,23,1,55,1,0,0,,23,3,13,3,0,0
24,3,49,4,0,0,,24,3,49,4,0,0,,24,8,9,10,0,0
25,7,49,8,1,0,,25,7,49,8,1,0,,25,18,9,20,1,0
26,9,55,9,2,1,,26,9,55,9,2,1,,26,23,13,23,2,1
27,11,64,6,1,2,,27,11,64,6,1,2,,27,28,18,15,1,2
28,11,74,3,0,1,,28,11,74,3,0,1,,28,28,23,8,0,1
29,9,83,2,0,0,,29,9,83,2,0,0,,29,23,28,5,0,0
30,7,88,2,1,0,,30,7,88,2,1,0,,30,18,31,5,1,0
31,3,88,1,1,1,,31,3,88,1,1,1,,31,8,31,3,1,1
32,1,83,0,0,1,,32,1,83,0,0,1,,32,3,28,0,0,1
33,0,74,0,0,0,,33,0,74,0,0,0,,33,0,23,0,0,0
34,0,64,0,0,0,,34,0,64,0,0,0,,34,0,18,0,0,0
35,1,55,1,0,0,,35,1,55,1,0,0,,35,3,13,3,0,0
36,3,49,4,0,0,,36,3,49,4,0,0,,36,8,9,10,0,0
37,7,49,8,1,0,,37,7,49,8,1,0,,37,18,9,20,1,0
38,9,55,9,2,1,,38,9,55,9,2,1,,38,23,13,23,2,1
39,11,64,6,1,2,,39,11,64,6,1,2,,39,28,18,15,1,2
40,11,74,3,0,1,,40,11,74,3,0,1,,40,28,23,8,0,1
41,9,83,2,0,0,,41,9,83,2,0,0,,41,23,28,5,0,0
42,7,88,2,1,0,,42,7,88,2,1,0,,42,18,31,5,1,0
43,3,88,1,1,1,,43,3,88,1,1,1,,43,8,31,3,1,1
44,1,83,0,0,1,,44,1,83,0,0,1,,44,3,28,0,0,1
45,0,74,0,0,0,,45,0,74,0,0,0,,45,0,23,0,0,0
46,0,64,0,0,0,,46,0,64,0,0,0,,46,0,18,0,0,0
47,1,55,1,0,0,,47,1,55,1,0,0,,47,3,13,3,0,0
48,3,49,4,0,0,,48,3,49,4,0,0,,48,8,9,10,0,0
49,7,49,8,1,0,,49,7,49,8,1,0,,49,18,9,20,1,0
50,9,55,9,2,1,,50,9,55,9,2,1,,50,23,13,23,2,1
51,11,64,6,1,2,,51,11,64,6,1,2,,51,28,18,15,1,2
52,11,74,3,0,1,,52,11,74,3,0,1,,52,28,23,8,0,1
53,9,83,2,0,0,,53,9,83,2,0,0,,53,23,28,5,0,0
54,7,88,2,1,0,,54,7,88,2,1,0,,54,18,31,5,1,0
55,3,88,1,1,1,,55,3,88,1,1,1,,55,8,31,3,1,1
